	lev	line1	line2	val1	val2	val3	r	pr	csr	vr
15	6	Субсидии на поддержку некоммерческих неправительственных организаций, участвующих в развитии институтов гражданского общества (Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям)	Субсидии на поддержку некоммерческих неправительственных организаций, участвующих в развитии институтов гражданского общества (Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям)	4316814,9	4180494,4	4089614,1	01	01	89 9 00 62160	600
16	6	Субсидии центрам исторического наследия президентов Российской Федерации, прекративших исполнение своих полномочий (Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям)	Субсидии центрам исторического наследия президентов Российской Федерации, прекративших исполнение своих полномочий (Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям)	140156,4	137048,8	134977,1	01	01	89 9 00 62220	600
17	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	513968,2	514077	514077,3	01	01	89 9 00 90000	100
18	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	173666,3	254845,2	249035,8	01	01	89 9 00 90000	200
19	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	15536,6	15536,6	15536,6	01	01	89 9 00 90000	800
20	2	Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований	Функционирование законодательных (представительных) органов государственной власти и представительных органов муниципальных образований	14058810,5	14536458,1	14487171,2	01	03		
21	3	Совет Федерации Федерального Собрания Российской Федерации	Совет Федерации Федерального Собрания Российской Федерации	5074321,3	5535975,3	5538794,5	01	03	95	
22	4	Члены Совета Федерации и их помощники	Члены Совета Федерации и их помощники	1723916,7	1725796,6	1728075,1	01	03	95 2	
23	6	Иные межбюджетные трансферты на обеспечение членов Совета Федерации и их помощников в субъектах Российской Федерации (Межбюджетные трансферты)	Иные межбюджетные трансферты на обеспечение членов Совета Федерации и их помощников в субъектах Российской Федерации (Межбюджетные трансферты)	228418,6	227627,1	227099,5	01	03	95 2 00 51420	500
24	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	1495498,1	1498169,5	1500975,6	01	03	95 2 00 90000	100
25	4	Обеспечение деятельности Совета Федерации	Обеспечение деятельности Совета Федерации	3350404,6	3810178,7	3810719,4	01	03	95 9	
26	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	2644641,7	2644927,1	2645497,5	01	03	95 9 00 90000	100
27	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	704352,1	1163885,4	1163885,4	01	03	95 9 00 90000	200
28	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	1410,8	1366,2	1336,5	01	03	95 9 00 90000	800
29	3	Государственная Дума Федерального Собрания Российской Федерации	Государственная Дума Федерального Собрания Российской Федерации	8984489,2	9000482,8	8948376,7	01	03	96	
30	4	Депутаты Государственной Думы и их помощники	Депутаты Государственной Думы и их помощники	4294067,9	4312221,7	4331758,2	01	03	96 2	
31	6	Иные межбюджетные трансферты на обеспечение деятельности депутатов Государственной Думы и их помощников в избирательных округах (Межбюджетные трансферты)	Иные межбюджетные трансферты на обеспечение деятельности депутатов Государственной Думы и их помощников в избирательных округах (Межбюджетные трансферты)	759203,7	770927	783709	01	03	96 2 00 51410	500
32	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	3534864,2	3541294,7	3548049,2	01	03	96 2 00 90000	100
33	4	Обеспечение деятельности Государственной Думы	Обеспечение деятельности Государственной Думы	4690421,3	4688261,1	4616618,5	01	03	96 9	
34	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	3504030	3525251,1	3547320,2	01	03	96 9 00 90000	100
35	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	1179972,3	1156724	1063232,3	01	03	96 9 00 90000	200
36	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	6419	6286	6066	01	03	96 9 00 90000	800
37	2	Функционирование Правительства Российской Федерации, высших исполнительных органов государственной власти субъектов Российской Федерации, местных администраций	Функционирование Правительства Российской Федерации, высших исполнительных органов государственной власти субъектов Российской Федерации, местных администраций	6290743,4	6354097,1	6423767	01	04		
38	3	Обеспечение функционирования Председателя Правительства Российской Федерации и его заместителей, Аппарата Правительства Российской Федерации	Обеспечение функционирования Председателя Правительства Российской Федерации и его заместителей, Аппарата Правительства Российской Федерации	6020135,8	6085625,1	6156718,7	01	04	78	
39	4	Председатель Правительства Российской Федерации и его заместители	Председатель Правительства Российской Федерации и его заместители	85762,7	85905,6	86055,7	01	04	78 1	
40	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	85762,7	85905,6	86055,7	01	04	78 1 00 90000	100
41	4	Аппарат Правительства Российской Федерации	Аппарат Правительства Российской Федерации	5934373,1	5999719,5	6070663	01	04	78 2	
42	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	4711473,1	4733594,3	4756829,8	01	04	78 2 00 90000	100
43	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	1221781,6	1265006,8	1312714,8	01	04	78 2 00 90000	200
44	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	1118,4	1118,4	1118,4	01	04	78 2 00 90000	800
45	3	Обеспечение деятельности отдельных федеральных государственных органов	Обеспечение деятельности отдельных федеральных государственных органов	270607,6	268472	267048,3	01	04	89	
46	4	Управление делами Президента Российской Федерации	Управление делами Президента Российской Федерации	270607,6	268472	267048,3	01	04	89 9	
47	6	"Субсидии автономной некоммерческой организации ""Аналитический центр при Правительстве Российской Федерации"" (Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям)"	"Субсидии автономной некоммерческой организации ""Аналитический центр при Правительстве Российской Федерации"" (Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям)"	270607,6	268472	267048,3	01	04	89 9 00 60500	600
48	2	Судебная система	Судебная система	160563985	159638406,6	159628628,3	01	05		
49	3	Государственная судебная власть	Государственная судебная власть	150779880,1	150816401,7	150809623,4	01	05	90	
50	4	Председатель Конституционного Суда Российской Федерации и судьи Конституционного Суда Российской Федерации	Председатель Конституционного Суда Российской Федерации и судьи Конституционного Суда Российской Федерации	134712,5	134740	134767,6	01	05	90 1	
51	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	134712,5	134740	134767,6	01	05	90 1 00 90000	100
52	4	Председатель Верховного Суда Российской Федерации и судьи Верховного Суда Российской Федерации	Председатель Верховного Суда Российской Федерации и судьи Верховного Суда Российской Федерации	732585,2	732831,7	733078,2	01	05	90 2	
53	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	732585,2	732831,7	733078,2	01	05	90 2 00 90000	100
54	4	Судьи	Судьи	70562152,5	70612757,5	70626836,9	01	05	90 4	
55	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	70562152,5	70612757,5	70626836,9	01	05	90 4 00 90000	100
56	4	Судебный департамент при Верховном Суде Российской Федерации	Судебный департамент при Верховном Суде Российской Федерации	3837623	3837623	3837623	01	05	90 5	
57	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	3174709,2	3166928,6	3166928,6	01	05	90 5 00 90000	100
58	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	638178,5	645959,1	645959,1	01	05	90 5 00 90000	200
59	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Социальное обеспечение и иные выплаты населению)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Социальное обеспечение и иные выплаты населению)	307,3	307,3	307,3	01	05	90 5 00 90000	300
60	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	24428	24428	24428	01	05	90 5 00 90000	800
61	4	Аппараты судов	Аппараты судов	36081736,7	36081736,7	36081736,7	01	05	90 6	
62	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	36081736,7	36081736,7	36081736,7	01	05	90 6 00 90000	100
63	4	Реализация функций	Реализация функций	39431070,2	39416712,8	39395581	01	05	90 9	
64	6	Субвенции на осуществление полномочий по составлению (изменению) списков кандидатов в присяжные заседатели федеральных судов общей юрисдикции в Российской Федерации (Межбюджетные трансферты)	Субвенции на осуществление полномочий по составлению (изменению) списков кандидатов в присяжные заседатели федеральных судов общей юрисдикции в Российской Федерации (Межбюджетные трансферты)	34691,3	34691,3	34691,3	01	05	90 9 00 51200	500
65	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Расходы на выплаты персоналу в целях обеспечения выполнения функций государственными (муниципальными) органами, казенными учреждениями, органами управления государственными внебюджетными фондами)	7038380,8	7461804,8	7467683,7	01	05	90 9 00 90000	100
66	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Закупка товаров, работ и услуг для обеспечения государственных (муниципальных) нужд)	25868353,4	25450932,3	25438070	01	05	90 9 00 90000	200
67	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Социальное обеспечение и иные выплаты населению)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Социальное обеспечение и иные выплаты населению)	96063,8	96063,8	96063,8	01	05	90 9 00 90000	300
68	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Предоставление субсидий бюджетным, автономным учреждениям и иным некоммерческим организациям)	4618084,5	4618247,6	4618247,6	01	05	90 9 00 90000	600
69	6	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	Финансовое обеспечение выполнения функций федеральных государственных органов, оказания услуг и выполнения работ (Иные бюджетные ассигнования)	1775496,4	1754973	1740824,6	01	05	90 9 00 90000	800
